scenario,case,climate,budget,target_ag,feasible,objective,ag_reduction,ag_final,ag_initial
no_migration,N1,0.1,500,0.1,False,,0.0,2.0,2.0
no_migration,N1,0.1,500,0.5,False,,0.0,2.0,2.0
no_migration,N1,0.1,500,1.0,False,,0.0,2.0,2.0
no_migration,N1,0.1,1000,0.1,False,,0.0,2.0,2.0
no_migration,N1,0.1,1000,0.5,False,,0.0,2.0,2.0
no_migration,N1,0.1,1000,1.0,False,,0.0,2.0,2.0
no_migration,N1,0.1,1500,0.1,False,,0.0,2.0,2.0
no_migration,N1,0.1,1500,0.5,False,,0.0,2.0,2.0
no_migration,N1,0.1,1500,1.0,False,,0.0,2.0,2.0
no_migration,N1,0.5,500,0.1,False,,0.0,2.0,2.0
no_migration,N1,0.5,500,0.5,False,,0.0,2.0,2.0
no_migration,N1,0.5,500,1.0,True,52.5,1.25,0.75,2.0
no_migration,N1,0.5,1000,0.1,True,40.8333335,2.0,0.0,2.0
no_migration,N1,0.5,1000,0.5,True,40.8333335,2.0,0.0,2.0
no_migration,N1,0.5,1000,1.0,True,40.8333335,2.0,0.0,2.0
no_migration,N1,0.5,1500,0.1,True,30.416666665,2.0,0.0,2.0
no_migration,N1,0.5,1500,0.5,True,30.416666665,2.0,0.0,2.0
no_migration,N1,0.5,1500,1.0,True,30.416666665,2.0,0.0,2.0
no_migration,N1,1.0,500,0.1,True,40.8333335,2.0,0.0,2.0
no_migration,N1,1.0,500,0.5,True,40.8333335,2.0,0.0,2.0
no_migration,N1,1.0,500,1.0,True,40.8333335,2.0,0.0,2.0
no_migration,N1,1.0,1000,0.1,True,27.333333,2.0,0.0,2.0
no_migration,N1,1.0,1000,0.5,True,27.333333,2.0,0.0,2.0
no_migration,N1,1.0,1000,1.0,True,27.333333,2.0,0.0,2.0
no_migration,N1,1.0,1500,0.1,True,21.777778,2.0,0.0,2.0
no_migration,N1,1.0,1500,0.5,True,21.777778,2.0,0.0,2.0
no_migration,N1,1.0,1500,1.0,True,21.777778,2.0,0.0,2.0
no_migration,N2,0.1,500,0.1,False,,0.0,0.5,0.5
no_migration,N2,0.1,500,0.5,True,52.5,0.25,0.25,0.5
no_migration,N2,0.1,500,1.0,True,52.5,0.25,0.25,0.5
no_migration,N2,0.1,1000,0.1,True,50.0,0.5,0.0,0.5
no_migration,N2,0.1,1000,0.5,True,50.0,0.5,0.0,0.5
no_migration,N2,0.1,1000,1.0,True,50.0,0.5,0.0,0.5
no_migration,N2,0.1,1500,0.1,True,47.9166665,0.5,0.0,0.5
no_migration,N2,0.1,1500,0.5,True,47.9166665,0.5,0.0,0.5
no_migration,N2,0.1,1500,1.0,True,47.9166665,0.5,0.0,0.5
no_migration,N2,0.5,500,0.1,True,43.75,0.5,0.0,0.5
no_migration,N2,0.5,500,0.5,True,43.75,0.5,0.0,0.5
no_migration,N2,0.5,500,1.0,True,43.75,0.5,0.0,0.5
no_migration,N2,0.5,1000,0.1,True,38.222222,0.5,0.0,0.5
no_migration,N2,0.5,1000,0.5,True,38.222222,0.5,0.0,0.5
no_migration,N2,0.5,1000,1.0,True,38.222222,0.5,0.0,0.5
no_migration,N2,0.5,1500,0.1,True,35.444444,0.5,0.0,0.5
no_migration,N2,0.5,1500,0.5,True,35.444444,0.5,0.0,0.5
no_migration,N2,0.5,1500,1.0,True,35.444444,0.5,0.0,0.5
no_migration,N2,1.0,500,0.1,True,38.222222,0.5,0.0,0.5
no_migration,N2,1.0,500,0.5,True,38.222222,0.5,0.0,0.5
no_migration,N2,1.0,500,1.0,True,38.222222,0.5,0.0,0.5
no_migration,N2,1.0,1000,0.1,True,32.666667,0.5,0.0,0.5
no_migration,N2,1.0,1000,0.5,True,32.666667,0.5,0.0,0.5
no_migration,N2,1.0,1000,1.0,True,32.666667,0.5,0.0,0.5
no_migration,N2,1.0,1500,0.1,True,27.111111,0.5,0.0,0.5
no_migration,N2,1.0,1500,0.5,True,27.111111,0.5,0.0,0.5
no_migration,N2,1.0,1500,1.0,True,27.111111,0.5,0.0,0.5
no_migration,N3,0.1,500,0.1,True,55.0,0.1,0.0,0.1
no_migration,N3,0.1,500,0.5,True,55.0,0.1,0.0,0.1
no_migration,N3,0.1,500,1.0,True,55.0,0.1,0.0,0.1
no_migration,N3,0.1,1000,0.1,True,52.916666649999996,0.1,0.0,0.1
no_migration,N3,0.1,1000,0.5,True,52.916666649999996,0.1,0.0,0.1
no_migration,N3,0.1,1000,1.0,True,52.916666649999996,0.1,0.0,0.1
no_migration,N3,0.1,1500,0.1,True,50.83333335,0.1,0.0,0.1
no_migration,N3,0.1,1500,0.5,True,50.83333335,0.1,0.0,0.1
no_migration,N3,0.1,1500,1.0,True,50.83333335,0.1,0.0,0.1
no_migration,N3,0.5,500,0.1,True,49.111111,0.1,0.0,0.1
no_migration,N3,0.5,500,0.5,True,49.111111,0.1,0.0,0.1
no_migration,N3,0.5,500,1.0,True,49.111111,0.1,0.0,0.1
no_migration,N3,0.5,1000,0.1,True,46.333333,0.1,0.0,0.1
no_migration,N3,0.5,1000,0.5,True,46.333333,0.1,0.0,0.1
no_migration,N3,0.5,1000,1.0,True,46.333333,0.1,0.0,0.1
no_migration,N3,0.5,1500,0.1,True,43.555556,0.1,0.0,0.1
no_migration,N3,0.5,1500,0.5,True,43.555556,0.1,0.0,0.1
no_migration,N3,0.5,1500,1.0,True,43.555556,0.1,0.0,0.1
no_migration,N3,1.0,500,0.1,True,46.333333,0.1,0.0,0.1
no_migration,N3,1.0,500,0.5,True,46.333333,0.1,0.0,0.1
no_migration,N3,1.0,500,1.0,True,46.333333,0.1,0.0,0.1
no_migration,N3,1.0,1000,0.1,True,40.777778,0.1,0.0,0.1
no_migration,N3,1.0,1000,0.5,True,40.777778,0.1,0.0,0.1
no_migration,N3,1.0,1000,1.0,True,40.777778,0.1,0.0,0.1
no_migration,N3,1.0,1500,0.1,True,35.222222,0.1,0.0,0.1
no_migration,N3,1.0,1500,0.5,True,35.222222,0.1,0.0,0.1
no_migration,N3,1.0,1500,1.0,True,35.222222,0.1,0.0,0.1
migration,M1,0.1,500,0.1,False,,0.0,2.0,2.0
migration,M1,0.1,500,0.5,False,,0.0,2.0,2.0
migration,M1,0.1,500,1.0,False,,0.0,2.0,2.0
migration,M1,0.1,1000,0.1,False,,0.0,2.0,2.0
migration,M1,0.1,1000,0.5,False,,0.0,2.0,2.0
migration,M1,0.1,1000,1.0,False,,0.0,2.0,2.0
migration,M1,0.1,1500,0.1,False,,0.0,2.0,2.0
migration,M1,0.1,1500,0.5,False,,0.0,2.0,2.0
migration,M1,0.1,1500,1.0,False,,0.0,2.0,2.0
migration,M1,0.5,500,0.1,False,,0.0,2.0,2.0
migration,M1,0.5,500,0.5,False,,0.0,2.0,2.0
migration,M1,0.5,500,1.0,True,62.5,1.25,0.75,2.0
migration,M1,0.5,1000,0.1,True,50.8333335,2.0,0.0,2.0
migration,M1,0.5,1000,0.5,True,50.8333335,2.0,0.0,2.0
migration,M1,0.5,1000,1.0,True,50.8333335,2.0,0.0,2.0
migration,M1,0.5,1500,0.1,True,40.416666665,2.0,0.0,2.0
migration,M1,0.5,1500,0.5,True,40.416666665,2.0,0.0,2.0
migration,M1,0.5,1500,1.0,True,40.416666665,2.0,0.0,2.0
migration,M1,1.0,500,0.1,True,50.8333335,2.0,0.0,2.0
migration,M1,1.0,500,0.5,True,50.8333335,2.0,0.0,2.0
migration,M1,1.0,500,1.0,True,50.8333335,2.0,0.0,2.0
migration,M1,1.0,1000,0.1,True,37.333332999999996,2.0,0.0,2.0
migration,M1,1.0,1000,0.5,True,37.333332999999996,2.0,0.0,2.0
migration,M1,1.0,1000,1.0,True,37.333332999999996,2.0,0.0,2.0
migration,M1,1.0,1500,0.1,True,31.7777778,2.0,0.0,2.0
migration,M1,1.0,1500,0.5,True,31.7777778,2.0,0.0,2.0
migration,M1,1.0,1500,1.0,True,31.7777778,2.0,0.0,2.0
migration,M2,0.1,500,0.1,False,,0.0,0.5,0.5
migration,M2,0.1,500,0.5,True,52.5,0.25,0.25,0.5
migration,M2,0.1,500,1.0,True,52.5,0.25,0.25,0.5
migration,M2,0.1,1000,0.1,True,50.0,0.5,0.0,0.5
migration,M2,0.1,1000,0.5,True,50.0,0.5,0.0,0.5
migration,M2,0.1,1000,1.0,True,50.0,0.5,0.0,0.5
migration,M2,0.1,1500,0.1,True,47.9166665,0.5,0.0,0.5
migration,M2,0.1,1500,0.5,True,47.9166665,0.5,0.0,0.5
migration,M2,0.1,1500,1.0,True,47.9166665,0.5,0.0,0.5
migration,M2,0.5,500,0.1,True,43.75,0.5,0.0,0.5
migration,M2,0.5,500,0.5,True,43.75,0.5,0.0,0.5
migration,M2,0.5,500,1.0,True,43.75,0.5,0.0,0.5
migration,M2,0.5,1000,0.1,True,38.222222,0.5,0.0,0.5
migration,M2,0.5,1000,0.5,True,38.2222222,0.5,0.0,0.5
migration,M2,0.5,1000,1.0,True,38.2222222,0.5,0.0,0.5
migration,M2,0.5,1500,0.1,True,35.4444444,0.5,0.0,0.5
migration,M2,0.5,1500,0.5,True,35.4444444,0.5,0.0,0.5
migration,M2,0.5,1500,1.0,True,35.4444444,0.5,0.0,0.5
migration,M2,1.0,500,0.1,True,38.222222,0.5,0.0,0.5
migration,M2,1.0,500,0.5,True,38.2222222,0.5,0.0,0.5
migration,M2,1.0,500,1.0,True,38.2222222,0.5,0.0,0.5
migration,M2,1.0,1000,0.1,True,32.6666667,0.5,0.0,0.5
migration,M2,1.0,1000,0.5,True,32.6666667,0.5,0.0,0.5
migration,M2,1.0,1000,1.0,True,32.6666667,0.5,0.0,0.5
migration,M2,1.0,1500,0.1,True,27.111111,0.5,0.0,0.5
migration,M2,1.0,1500,0.5,True,27.111111,0.5,0.0,0.5
migration,M2,1.0,1500,1.0,True,27.111111,0.5,0.0,0.5
migration,M3,0.1,500,0.1,True,51.875,0.1,0.0,0.1
migration,M3,0.1,500,0.5,True,51.875,0.1,0.0,0.1
migration,M3,0.1,500,1.0,True,51.875,0.1,0.0,0.1
migration,M3,0.1,1000,0.1,True,49.791666649999996,0.1,0.0,0.1
migration,M3,0.1,1000,0.5,True,49.791666649999996,0.1,0.0,0.1
migration,M3,0.1,1000,1.0,True,49.791666649999996,0.1,0.0,0.1
migration,M3,0.1,1500,0.1,True,47.708333350000004,0.1,0.0,0.1
migration,M3,0.1,1500,0.5,True,47.708333350000004,0.1,0.0,0.1
migration,M3,0.1,1500,1.0,True,47.708333350000004,0.1,0.0,0.1
migration,M3,0.5,500,0.1,True,44.611111,0.1,0.0,0.1
migration,M3,0.5,500,0.5,True,44.611111,0.1,0.0,0.1
migration,M3,0.5,500,1.0,True,44.611111,0.1,0.0,0.1
migration,M3,0.5,1000,0.1,True,41.8333333,0.1,0.0,0.1
migration,M3,0.5,1000,0.5,True,41.8333333,0.1,0.0,0.1
migration,M3,0.5,1000,1.0,True,41.8333333,0.1,0.0,0.1
migration,M3,0.5,1500,0.1,True,39.055556,0.1,0.0,0.1
migration,M3,0.5,1500,0.5,True,39.055556,0.1,0.0,0.1
migration,M3,0.5,1500,1.0,True,39.055556,0.1,0.0,0.1
migration,M3,1.0,500,0.1,True,41.8333333,0.1,0.0,0.1
migration,M3,1.0,500,0.5,True,41.8333333,0.1,0.0,0.1
migration,M3,1.0,500,1.0,True,41.8333333,0.1,0.0,0.1
migration,M3,1.0,1000,0.1,True,36.277778,0.1,0.0,0.1
migration,M3,1.0,1000,0.5,True,36.277778,0.1,0.0,0.1
migration,M3,1.0,1000,1.0,True,36.277778,0.1,0.0,0.1
migration,M3,1.0,1500,0.1,True,30.722222,0.1,0.0,0.1
migration,M3,1.0,1500,0.5,True,30.722222,0.1,0.0,0.1
migration,M3,1.0,1500,1.0,True,30.722222,0.1,0.0,0.1
