regime_start,climate,gov_rule,ag_rule,gov_cap_thresh,period,gov_strat,ag_strat,CI,conflict_regime
2,0.4,reactive,opportunistic,30.0,1,Development,Coerce,1.153196665585174,3
2,0.4,reactive,opportunistic,30.0,2,Balance,Coerce,1.3159162552263612,3
2,0.4,reactive,opportunistic,30.0,3,Balance,Coerce,1.400868285202015,4
2,0.4,reactive,opportunistic,30.0,4,Balance,Coerce,1.4863952993233154,4
2,0.4,reactive,opportunistic,30.0,5,Balance,Coerce,1.501469138422277,4
2,0.4,reactive,opportunistic,30.0,6,Balance,Coerce,1.5527963927485349,4
2,0.4,reactive,opportunistic,30.0,7,Balance,Coerce,1.5299230439452742,4
2,0.4,reactive,opportunistic,30.0,8,Balance,Coerce,1.5673358515308438,4
2,0.4,reactive,opportunistic,30.0,9,Balance,Coerce,1.5739583007076146,4
2,0.4,reactive,opportunistic,30.0,10,Balance,Coerce,1.6241209920144124,4
2,0.4,reactive,opportunistic,30.0,11,Balance,Coerce,1.636535406156449,4
2,0.4,reactive,opportunistic,30.0,12,Balance,Coerce,1.6256383071693776,4
2,0.4,reactive,opportunistic,30.0,13,Balance,Coerce,1.6400785606545099,4
2,0.4,reactive,opportunistic,30.0,14,Balance,Coerce,1.6415647998922904,4
2,0.4,reactive,opportunistic,30.0,15,Balance,Coerce,1.6519083582445178,4
2,0.4,reactive,opportunistic,60.0,1,Development,Coerce,1.153196665585174,3
2,0.4,reactive,opportunistic,60.0,2,None,Coerce,1.3780604461607324,3
2,0.4,reactive,opportunistic,60.0,3,Balance,Coerce,1.421890974233095,4
2,0.4,reactive,opportunistic,60.0,4,None,Coerce,1.4994250774770799,4
2,0.4,reactive,opportunistic,60.0,5,Balance,Coerce,1.5054700398054,4
2,0.4,reactive,opportunistic,60.0,6,Balance,Coerce,1.5228794447380587,4
2,0.4,reactive,opportunistic,60.0,7,None,Coerce,1.5709144369588763,4
2,0.4,reactive,opportunistic,60.0,8,Balance,Coerce,1.6416680265419035,4
2,0.4,reactive,opportunistic,60.0,9,Balance,Coerce,1.6212878319313453,4
2,0.4,reactive,opportunistic,60.0,10,Balance,Coerce,1.6985040079389124,4
2,0.4,reactive,opportunistic,60.0,11,Balance,Coerce,1.649903634781371,4
2,0.4,reactive,opportunistic,60.0,12,Balance,Coerce,1.664091090283897,4
2,0.4,reactive,opportunistic,60.0,13,Balance,Coerce,1.6683007505913614,4
2,0.4,reactive,opportunistic,60.0,14,Balance,Coerce,1.7070432863522553,4
2,0.4,reactive,opportunistic,60.0,15,Balance,Coerce,1.7194613874938187,4
2,0.4,reactive,opportunistic,90.0,1,Development,Coerce,1.153196665585174,3
2,0.4,reactive,opportunistic,90.0,2,None,Coerce,1.3780604461607324,3
2,0.4,reactive,opportunistic,90.0,3,None,Coerce,1.4612492661884544,4
2,0.4,reactive,opportunistic,90.0,4,None,Coerce,1.5078062625239446,4
2,0.4,reactive,opportunistic,90.0,5,None,Coerce,1.5512946771242597,4
2,0.4,reactive,opportunistic,90.0,6,Balance,Coerce,1.5771813632294605,4
2,0.4,reactive,opportunistic,90.0,7,None,Coerce,1.6234285900908991,4
2,0.4,reactive,opportunistic,90.0,8,None,Coerce,1.6577272007097832,4
2,0.4,reactive,opportunistic,90.0,9,None,Coerce,1.6466267597844493,4
2,0.4,reactive,opportunistic,90.0,10,Balance,Coerce,1.6850949417692227,4
2,0.4,reactive,opportunistic,90.0,11,Balance,Coerce,1.7021749694500046,4
2,0.4,reactive,opportunistic,90.0,12,Balance,Coerce,1.7726928609281745,4
2,0.4,reactive,opportunistic,90.0,13,None,Coerce,1.7773861338476455,4
2,0.4,reactive,opportunistic,90.0,14,Balance,Coerce,1.746519458174339,4
2,0.4,reactive,opportunistic,90.0,15,None,Coerce,1.7480553473014204,4
