regime_start,climate,gov_rule,ag_rule,gov_cap_thresh,period,gov_strat,ag_strat,CI,conflict_regime
2,0.7,reactive,opportunistic,30.0,1,Development,Coerce,1.0811077685472466,3
2,0.7,reactive,opportunistic,30.0,2,Balance,Coerce,1.2533967922013454,3
2,0.7,reactive,opportunistic,30.0,3,Balance,Coerce,1.358009767148531,3
2,0.7,reactive,opportunistic,30.0,4,Balance,Coerce,1.4195132127592114,4
2,0.7,reactive,opportunistic,30.0,5,Balance,Coerce,1.447921510929619,4
2,0.7,reactive,opportunistic,30.0,6,Balance,Coerce,1.4839342795558967,4
2,0.7,reactive,opportunistic,30.0,7,Balance,Coerce,1.5053441966731596,4
2,0.7,reactive,opportunistic,30.0,8,Balance,Coerce,1.5396550447704667,4
2,0.7,reactive,opportunistic,30.0,9,Balance,Coerce,1.5208546098062405,4
2,0.7,reactive,opportunistic,30.0,10,Balance,Coerce,1.5380958535576381,4
2,0.7,reactive,opportunistic,30.0,11,Balance,Coerce,1.550066676962062,4
2,0.7,reactive,opportunistic,30.0,12,Balance,Coerce,1.496177102587594,4
2,0.7,reactive,opportunistic,30.0,13,Balance,Coerce,1.531857438611906,4
2,0.7,reactive,opportunistic,30.0,14,Balance,Coerce,1.53811544747848,4
2,0.7,reactive,opportunistic,30.0,15,Balance,Coerce,1.5558089223490361,4
2,0.7,reactive,opportunistic,60.0,1,Development,Coerce,1.0811077685472466,3
2,0.7,reactive,opportunistic,60.0,2,None,Coerce,1.2791423266444135,3
2,0.7,reactive,opportunistic,60.0,3,Balance,Coerce,1.3512857590906922,3
2,0.7,reactive,opportunistic,60.0,4,None,Coerce,1.433605437941226,4
2,0.7,reactive,opportunistic,60.0,5,Balance,Coerce,1.4772407896849744,4
2,0.7,reactive,opportunistic,60.0,6,Balance,Coerce,1.5152472783008966,4
2,0.7,reactive,opportunistic,60.0,7,Balance,Coerce,1.508849411431515,4
2,0.7,reactive,opportunistic,60.0,8,Balance,Coerce,1.6240426869622744,4
2,0.7,reactive,opportunistic,60.0,9,Balance,Coerce,1.6189246456796456,4
2,0.7,reactive,opportunistic,60.0,10,Balance,Coerce,1.5700472316034013,4
2,0.7,reactive,opportunistic,60.0,11,Balance,Coerce,1.651982952139105,4
2,0.7,reactive,opportunistic,60.0,12,Balance,Coerce,1.6552959505066633,4
2,0.7,reactive,opportunistic,60.0,13,Balance,Coerce,1.6658020835451466,4
2,0.7,reactive,opportunistic,60.0,14,Balance,Coerce,1.6357126001321314,4
2,0.7,reactive,opportunistic,60.0,15,Balance,Coerce,1.6452217906709754,4
2,0.7,reactive,opportunistic,90.0,1,Development,Coerce,1.0811077685472466,3
2,0.7,reactive,opportunistic,90.0,2,None,Coerce,1.2791423266444135,3
2,0.7,reactive,opportunistic,90.0,3,None,Coerce,1.3616125578238862,3
2,0.7,reactive,opportunistic,90.0,4,None,Coerce,1.4205966902869052,4
2,0.7,reactive,opportunistic,90.0,5,None,Coerce,1.4728890511533663,4
2,0.7,reactive,opportunistic,90.0,6,Balance,Coerce,1.472975469418233,4
2,0.7,reactive,opportunistic,90.0,7,None,Coerce,1.4934272750639985,4
2,0.7,reactive,opportunistic,90.0,8,None,Coerce,1.5408465610124327,4
2,0.7,reactive,opportunistic,90.0,9,None,Coerce,1.5536465548534155,4
2,0.7,reactive,opportunistic,90.0,10,Balance,Coerce,1.6129773760465778,4
2,0.7,reactive,opportunistic,90.0,11,Balance,Coerce,1.6283583107034272,4
2,0.7,reactive,opportunistic,90.0,12,Balance,Coerce,1.690918862689333,4
2,0.7,reactive,opportunistic,90.0,13,None,Coerce,1.6741158997579542,4
2,0.7,reactive,opportunistic,90.0,14,Balance,Coerce,1.7493733986376645,4
2,0.7,reactive,opportunistic,90.0,15,Balance,Coerce,1.7729760835093331,4
