case,peace_budget,ag_budget,budget_ratio,feasible,objective,violence_reduction,budget_used_pct,gov_r8,gov_r11,gov_r12,gov_r21,gov_r23,gov_r24,gov_r29,ag_r17,ag_r28,ag_r30,ag_r33,ag_r34,ag_r35,ag_r36
Severe_Conflict,50,20,2.5,True,28.42721552352846,92.78474125,28.32346705691979,0,0,0.055965053,0.10594005,0,0,0,0,0,0,0,0,0,0
Severe_Conflict,50,50,1.0,True,28.42721552352846,92.78474125,28.32346705691979,0,0,0.055965053,0.10594005,0,0,0,0,0,0,0,0,0,0
Severe_Conflict,100,20,5.0,True,28.42721552352846,92.78474125,14.161733528459894,0,0,0.055965053,0.10594005,0,0,0,0,0,0,0,0,0,0
Severe_Conflict,100,50,2.0,True,28.42721552352846,92.78474125,14.161733528459894,0,0,0.055965053,0.10594005,0,0,0,0,0,0,0,0,0,0
Severe_Conflict,100,100,1.0,True,28.42721552352846,92.78474125,14.161733528459894,0,0,0.055965053,0.10594005,0,0,0,0,0,0,0,0,0,0
Severe_Conflict,200,20,10.0,True,28.42721552352846,92.78474125,7.080866764229947,0,0,0.055965053,0.10594005,0,0,0,0,0,0,0,0,0,0
Severe_Conflict,200,50,4.0,True,28.42721552352846,92.78474125,7.080866764229947,0,0,0.055965053,0.10594005,0,0,0,0,0,0,0,0,0,0
Severe_Conflict,200,100,2.0,True,28.42721552352846,92.78474125,7.080866764229947,0,0,0.055965053,0.10594005,0,0,0,0,0,0,0,0,0,0
Moderate_Conflict,50,20,2.5,True,0.49765242883973165,100.0,5.17491767946343,0,0,0.0,0.051144783,0,0,0,0,0,0,0,0,0,0
Moderate_Conflict,50,50,1.0,True,0.49765242883973165,100.0,5.17491767946343,0,0,0.0,0.051144783,0,0,0,0,0,0,0,0,0,0
Moderate_Conflict,100,20,5.0,True,0.49765242883973165,100.0,2.587458839731715,0,0,0.0,0.051144783,0,0,0,0,0,0,0,0,0,0
Moderate_Conflict,100,50,2.0,True,0.49765242883973165,100.0,2.587458839731715,0,0,0.0,0.051144783,0,0,0,0,0,0,0,0,0,0
Moderate_Conflict,100,100,1.0,True,0.49765242883973165,100.0,2.587458839731715,0,0,0.0,0.051144783,0,0,0,0,0,0,0,0,0,0
Moderate_Conflict,200,20,10.0,True,0.49765242883973165,100.0,1.2937294198658575,0,0,0.0,0.051144783,0,0,0,0,0,0,0,0,0,0
Moderate_Conflict,200,50,4.0,True,0.49765242883973165,100.0,1.2937294198658575,0,0,0.0,0.051144783,0,0,0,0,0,0,0,0,0,0
Moderate_Conflict,200,100,2.0,True,0.49765242883973165,100.0,1.2937294198658575,0,0,0.0,0.051144783,0,0,0,0,0,0,0,0,0,0
Stabilizing,50,20,2.5,True,0.19904986066412153,100.0,1.2776413282430852,0,0,0.0,0.020295206,0,0,0,0,0,0,0,0,0,0
Stabilizing,50,50,1.0,True,0.19904986066412153,100.0,1.2776413282430852,0,0,0.0,0.020295206,0,0,0,0,0,0,0,0,0,0
Stabilizing,100,20,5.0,True,0.19904986066412153,100.0,0.6388206641215426,0,0,0.0,0.020295206,0,0,0,0,0,0,0,0,0,0
Stabilizing,100,50,2.0,True,0.19904986066412153,100.0,0.6388206641215426,0,0,0.0,0.020295206,0,0,0,0,0,0,0,0,0,0
Stabilizing,100,100,1.0,True,0.19904986066412153,100.0,0.6388206641215426,0,0,0.0,0.020295206,0,0,0,0,0,0,0,0,0,0
Stabilizing,200,20,10.0,True,0.19904986066412153,100.0,0.3194103320607713,0,0,0.0,0.020295206,0,0,0,0,0,0,0,0,0,0
Stabilizing,200,50,4.0,True,0.19904986066412153,100.0,0.3194103320607713,0,0,0.0,0.020295206,0,0,0,0,0,0,0,0,0,0
Stabilizing,200,100,2.0,True,0.19904986066412153,100.0,0.3194103320607713,0,0,0.0,0.020295206,0,0,0,0,0,0,0,0,0,0
